Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Trinidad and Tobago,369,Financial Institutions Index,FD_FI_IX,Value,0.3822966,0.4149069,0.4086507,0.4388088,0.4365017,0.4034174,0.4540051,0.476364,0.4397536,0.4255051,0.4035009,0.4042011,0.3983241,0.3935598,0.3658419,0.4042471,0.3987105,0.4596038,0.4257484,0.4275353,0.4339102,0.4455028,0.4884904,0.5092356,0.5024171,0.4936299,0.5064728,0.5458868,0.4694878,0.5267144,0.4409362,0.4818793,0.5261206,0.507628,0.5446079
Cambodia,522,Financial Markets Depth Index,FD_FMD_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017746,0.0025297,0.0026678,0.0036213,0.0037586,0.0032579,0.0031189,0.0029858,0.0031934,0.0031111,0.0037004,0.0039201,0.0035125,0.0037258,0.0046496,0.0104799,0.0104302,0.0332506,0.038361,0.0341881,0.0267567,0.0248345
Sri Lanka,524,Financial Institutions Index,FD_FI_IX,Value,0.2431015,0.2552671,0.2613767,0.2651742,0.2606798,0.2630179,0.2617956,0.2629114,0.2669961,0.2628495,0.2613815,0.235074,0.2275905,0.2193704,0.2556086,0.2665108,0.268192,0.2690722,0.258999,0.2479382,0.254557,0.2549446,0.2664759,0.2619926,0.2694419,0.2777272,0.290545,0.294039,0.2901697,0.2995618,0.3172239,0.3400067,0.3465693,0.3522541,0.3587915
Sri Lanka,524,Financial Institutions Depth Index,FD_FID_IX,Value,0.0639298,0.067906,0.0732158,0.0787843,0.0723204,0.0757196,0.0739521,0.0755737,0.0816161,0.0755865,0.0734658,0.0471801,0.047862,0.0500229,0.0528958,0.1159755,0.1178051,0.1151269,0.1123434,0.1143145,0.112845,0.1117867,0.1124104,0.1187459,0.1261421,0.1354888,0.1358348,0.1336664,0.118391,0.104507,0.1084358,0.1181411,0.1172389,0.1108663,0.1056977
Sri Lanka,524,Financial Institutions Access Index,FD_FIA_IX,Value,0.1094441,0.1122613,0.1158624,0.1194817,0.1150738,0.1173311,0.1161415,0.1172195,0.1210606,0.1170586,0.1156282,0.1136997,0.110375,0.107791,0.1319694,0.1319192,0.133571,0.1299575,0.1259694,0.1306801,0.1263834,0.1256702,0.1228974,0.1192137,0.124797,0.1287765,0.1707497,0.1881286,0.2054876,0.2204135,0.2344184,0.2572661,0.2766885,0.2841174,0.2887077
Denmark,128,Financial Markets Depth Index,FD_FMD_IX,Value,0.0791632,0.0957024,0.0870521,0.1042162,0.1113785,0.0992693,0.1096495,0.1262858,0.1500107,0.2054389,0.1536018,0.1608243,0.1445485,0.227676,0.2534032,0.2025287,0.2552144,0.3476532,0.3993878,0.4002616,0.5019382,0.4260255,0.3573093,0.4316055,0.4760296,0.614582,0.7588757,0.8253611,0.6014192,0.7511151,0.7827874,0.6904598,0.7349665,0.7331641,0.7306831
Denmark,128,Financial Markets Efficiency Index,FD_FME_IX,Value,0.1555748,0.1880782,0.1710783,0.2048098,0.2188856,0.195088,0.2154877,0.248182,0.2948071,0.4037368,0.2752061,0.2175803,0.4013226,0.5545222,0.5602643,0.4608658,0.5326242,0.5568066,0.719354,0.5994905,0.8449357,0.7075807,0.6136941,0.6635674,0.7016149,0.9071845,0.8487399,0.9354472,1,0.9155068,0.6788495,0.7189299,0.5128382,0.5128382,0.5128382
France,132,Financial Institutions Index,FD_FI_IX,Value,0.5656998,0.5402288,0.5782387,0.6114988,0.589555,0.5957097,0.6012956,0.6079438,0.6206795,0.614404,0.6129369,0.6402312,0.654306,0.6885592,0.7198014,0.7201617,0.7220634,0.7397661,0.7266235,0.7122827,0.7183499,0.7295282,0.7355265,0.7362178,0.7480403,0.768212,0.8746509,0.892957,0.8933706,0.8888184,0.8930567,0.8905614,0.8756261,0.87803,0.8674787
France,132,Financial Markets Index,FD_FM_IX,Value,0.1177886,0.1118344,0.134478,0.1459054,0.1510834,0.1658728,0.1685329,0.1641701,0.1837166,0.2325328,0.213884,0.2263558,0.2183241,0.3234353,0.3991523,0.4217196,0.3423658,0.4317299,0.509543,0.554983,0.6143607,0.6387942,0.6339864,0.6986917,0.7120651,0.6919317,0.7910552,0.7622359,0.6923079,0.6493503,0.6416324,0.6455241,0.6145554,0.6154508,0.6319718
France,132,Financial Institutions Depth Index,FD_FID_IX,Value,0.4652133,0.4660777,0.4659416,0.4663631,0.4700534,0.4696491,0.4775554,0.4921587,0.5006768,0.5121838,0.5285192,0.6524841,0.6646985,0.69783,0.6986654,0.6971163,0.6904349,0.6884639,0.687997,0.6882352,0.6952267,0.7005892,0.6987216,0.697883,0.7000075,0.7020748,0.7114556,0.7219204,0.7303784,0.7365173,0.7384979,0.7409784,0.7412316,0.7403751,0.7376969
